日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-21,0.985,0.97,0.993,0.966,648071,63798226.0,2.71,-2.61,-0.026,15.12
2025-11-24,0.977,0.975,0.99,0.967,171051,16750153.0,2.37,0.52,0.005,3.99
2025-11-25,0.975,0.978,0.985,0.971,204448,20007391.0,1.44,0.31,0.003,4.77
2025-11-26,0.978,0.978,0.988,0.977,146837,14451040.0,1.12,0.0,0.0,3.43
2025-11-27,0.977,0.978,0.987,0.977,170166,16724292.0,1.02,0.0,0.0,3.97
2025-11-28,0.98,0.99,0.99,0.976,178889,17629689.0,1.43,1.23,0.012,4.17
2025-12-01,0.99,0.984,0.999,0.983,122397,12138280.0,1.62,-0.61,-0.006,2.86
2025-12-02,0.981,0.979,0.983,0.977,52253,5114807.0,0.61,-0.51,-0.005,1.22
2025-12-03,0.981,0.983,0.987,0.979,43612,4290979.0,0.82,0.41,0.004,1.02
2025-12-04,0.982,0.976,0.986,0.976,66897,6549139.0,1.02,-0.71,-0.007,1.56
2025-12-05,0.976,0.988,0.989,0.976,106647,10497070.0,1.33,1.23,0.012,2.49
2025-12-08,0.987,0.99,0.99,0.985,47847,4727667.0,0.51,0.2,0.002,1.12
2025-12-09,0.988,0.974,0.988,0.972,40558,3969399.0,1.62,-1.62,-0.016,0.95
2025-12-10,0.973,0.985,0.986,0.972,47874,4700014.0,1.44,1.13,0.011,1.12
2025-12-11,0.986,0.976,0.986,0.976,36330,3558551.0,1.02,-0.91,-0.009,0.85
2025-12-12,0.979,0.983,0.985,0.976,85199,8371028.0,0.92,0.72,0.007,1.99
2025-12-15,0.982,0.992,1.001,0.982,216571,21578632.0,1.93,0.92,0.009,5.05
2025-12-16,0.993,0.987,0.997,0.984,29302,2894029.0,1.31,-0.5,-0.005,0.68
2025-12-17,0.992,0.994,0.996,0.985,43031,4271735.0,1.11,0.71,0.007,1.0
2025-12-18,0.995,0.991,0.998,0.991,34859,3470848.0,0.7,-0.3,-0.003,0.81
2025-12-19,0.987,1.005,1.008,0.986,550515,55258404.0,2.22,1.41,0.014,12.84
2025-12-22,1.005,1.008,1.01,1.002,318810,32157479.0,0.8,0.3,0.003,7.44
2025-12-23,1.008,1.007,1.013,1.004,146522,14788492.0,0.89,-0.1,-0.001,3.42
2025-12-24,1.007,0.998,1.007,0.992,17920,1785640.0,1.49,-0.89,-0.009,0.42
2025-12-25,0.997,0.999,1.002,0.993,12384,1236860.0,0.9,0.1,0.001,0.29
2025-12-26,1.002,1.007,1.008,1.0,82518,8300460.0,0.8,0.8,0.008,1.92
